Setup time, 4.033

Iteration,Approach,Pickup,Transport,Insert,Total
1,1.27437,1.28986,1.65573,1.20617,5.42641
2,1.74222,1.29343,1.6318,1.17858,5.84632
3,1.75552,1.29208,1.61987,4.34287,9.01063
4,1.769,1.29057,1.6318,1.1905,5.88214
5,1.73659,1.28724,1.63176,1.19775,5.85361
6,1.72996,1.26973,1.64392,4.34217,8.98606
7,1.74247,1.29322,1.63187,1.20375,5.87159
8,1.73388,1.28987,1.65576,1.1942,5.874
9,1.74334,1.29247,1.61982,4.35551,9.01144
10,1.74572,1.30205,1.63177,1.19397,5.87379
11,1.74514,1.29063,1.63193,1.2113,5.87926
12,1.73053,1.29308,1.61986,4.28386,8.9276
13,1.7692,1.29063,1.63196,1.1903,5.88233
14,1.73556,1.29015,1.62994,1.20279,5.85872
15,1.73283,1.29081,1.64388,3.86016,8.52796
16,1.74235,1.29334,1.63174,1.20769,5.8754
17,1.74031,1.28091,1.64394,1.19097,5.85642
18,1.74518,1.29053,1.61984,4.32952,8.98532
19,1.7438,1.29208,1.6317,1.198,5.86587
20,1.75501,1.29255,1.63179,1.21838,5.89813
21,1.73047,1.28129,1.61987,4.34174,8.97365
22,1.76604,1.29353,1.63188,1.19132,5.88301
23,1.73047,1.29332,1.63176,1.20874,5.86459
24,1.73373,1.27802,1.64381,4.314,8.96985
25,1.74431,1.29143,1.63371,1.22877,5.8985
26,1.73364,1.29003,1.65587,1.1759,5.85572
27,1.75804,1.28962,1.61988,4.31031,8.97813
28,1.74573,1.31418,1.63181,1.19181,5.88381
29,1.76397,1.29568,1.6319,1.19722,5.88907
30,1.75529,1.28028,1.62007,4.33751,8.99343
31,1.76595,1.28175,1.63198,1.21811,5.89807
32,1.73015,1.28151,1.64373,1.20656,5.86224
33,1.73177,1.29013,1.64383,4.34991,9.01591
34,1.74616,1.29128,1.62996,1.23056,5.89823
35,1.73358,1.29,1.65588,1.18991,5.86966
36,1.7581,1.28965,1.61994,4.23516,8.9031
37,1.74558,1.31426,1.63171,1.18784,5.87967
38,1.74895,1.28941,1.64127,1.17519,5.85511
39,1.75525,1.28042,1.61979,4.30764,8.96338
40,1.76789,1.29182,1.63202,1.19,5.88202
41,1.73121,1.29246,1.63198,1.20232,5.85827
42,1.73063,1.29291,1.63191,4.30588,8.96161
43,1.74329,1.27855,1.63181,1.21839,5.87234
44,1.73141,1.28019,1.6557,1.18784,5.85543
45,1.75494,1.29275,1.6218,4.36827,9.03806
46,1.7544,1.2932,1.63382,1.19882,5.88053
47,1.75476,1.29289,1.63198,1.2179,5.89784
48,1.73106,1.28054,1.61973,4.33455,8.96615
49,1.76776,1.29016,1.64371,1.202,5.9039
50,1.7427,1.29264,1.6318,1.20837,5.8758
51,1.73561,1.29012,1.6419,4.33072,8.99862
52,1.74205,1.28162,1.63177,1.19844,5.85417
53,1.7305,1.29321,1.64383,1.19775,5.86557
54,1.75776,1.28984,1.61989,4.32207,8.98984
55,1.74538,1.31428,1.63197,1.17755,5.86946
56,1.74578,1.29082,1.643,1.17594,5.85582
57,1.75384,1.29363,1.6198,4.30849,8.97604
58,1.76663,1.28101,1.63188,1.20187,5.88168
59,1.73294,1.29063,1.6318,1.23035,5.88601
60,1.73151,1.29024,1.64386,3.84173,8.5076
