Random,,,,,
Iteration,Approach,Pickup,Transport,Insert,Total
1,1.80749,1.32353,1.63273,1.21368,5.97772
2,1.7875,1.30817,1.64397,2.63396,7.37386
3,1.75888,1.31268,1.63185,10.4437,15.1474
4,1.70903,1.30353,1.63118,1.23824,5.88228
5,1.75928,1.30043,1.66789,2.48777,7.21564
6,1.79477,1.30083,1.63207,2.95807,7.68602
7,1.78733,1.30851,1.63191,1.21855,5.94657
8,1.78376,1.31205,1.64415,1.62582,6.36606
9,1.7552,1.30453,1.65583,7.61481,12.3306
10,1.75867,1.31297,1.63199,1.24198,5.9459
11,1.75926,1.30048,1.64644,1.67102,6.37749
12,1.75771,1.32612,1.63191,3.60497,8.321
13,1.74224,1.30562,1.65781,1.20158,5.90753
14,1.78773,1.30814,1.64401,1.62385,6.364
15,1.75708,1.3027,1.63211,3.46814,8.1603
16,1.79742,1.29826,1.63206,1.21465,5.94267
17,1.78287,1.30086,1.64404,15.3556,20.0837
18,1.86819,1.29978,1.63193,3.14135,7.94155
19,1.79657,1.29929,1.63191,1.21779,5.94583
20,1.77901,1.30472,1.64401,2.61349,7.3414
21,1.78347,1.31229,1.63185,10.3271,15.055
22,1.67452,1.31335,1.63202,1.25066,5.87084
23,1.75787,1.30199,1.64393,1.64906,6.35313
24,1.75522,1.34059,1.63199,2.55741,7.28549
25,1.77157,1.30087,1.63105,1.22592,5.92974
26,1.75799,1.30181,1.66789,1.62633,6.35432
27,1.78246,1.30138,1.63184,2.43779,7.15375
28,1.76974,1.31387,1.63187,1.24327,5.95904
29,1.75442,1.30548,1.66791,3.23458,7.96269
30,1.77893,1.30509,1.63168,2.66714,7.38312
31,1.79432,1.31336,1.63195,1.21564,5.95555
32,1.78269,1.30371,1.64141,1.6219,6.34999
33,1.75511,1.31666,1.65608,3.65831,8.38645
34,1.74561,1.30289,1.63124,1.23988,5.91992
35,1.75404,1.3058,1.66801,14.6197,19.3478
36,1.90184,1.34945,1.63228,18.9959,23.8797
37,1.72169,1.30205,1.65602,1.22178,5.90182
38,1.79013,1.30576,1.64381,1.65633,6.39632
39,1.7588,1.31234,1.63205,9.23293,13.9364
40,1.72129,1.31453,1.63188,1.24756,5.91554
41,1.75786,1.30013,1.64398,1.62495,6.32721
42,1.7631,1.34472,1.63852,4.8299,9.57652
43,1.76175,1.32201,1.63254,1.21736,5.93394
44,1.77906,1.30464,1.644,1.24133,5.96931
45,1.75759,1.31428,1.63198,3.57969,8.28382
46,1.77002,1.30168,1.63218,1.20607,5.91025
47,1.79339,1.30325,1.64302,4.01979,8.75973
48,1.811,1.32087,1.63254,10.7819,15.5466
49,1.70686,1.30484,1.63183,1.25333,5.89713
50,1.75918,1.32436,1.64391,1.25362,5.98132
51,1.75577,1.30413,1.65608,4.38598,9.10217
52,1.72117,1.30264,1.6678,1.20543,5.89736
53,1.77975,1.31618,1.64377,9.37436,14.1143
54,1.88352,1.30832,1.63419,7.61768,12.444
55,1.69847,1.31393,1.6553,1.21768,5.88564
56,1.7817,1.30206,1.64402,1.60197,6.33
57,1.75715,1.30271,1.63199,4.31043,9.00256
58,1.75769,1.31399,1.63205,1.23788,5.94188
59,1.76106,1.30048,1.6662,1.60329,6.33131
60,1.7874,1.3205,1.63176,4.8599,9.59975
