Iteration,Approach,Pickup,Transport,Insert,Total
1,1.8166,1.33652,1.65581,9.77555,14.5848
2,1.79206,1.33978,1.66768,14.5805,19.3803
3,1.79722,1.33443,1.63184,17.0627,21.8264
4,1.79351,1.33819,1.6319,1.26578,6.02966
5,1.82402,1.31968,1.64394,12.1962,16.9841
6,1.79292,1.33878,1.63174,17.2643,22.028
7,1.79321,1.36243,1.63188,9.80262,14.5904
8,1.79215,1.36354,1.6439,14.5995,19.3994
9,1.79534,1.36034,1.63196,16.8345,21.6225
10,1.80438,1.33906,1.63191,1.25186,6.0275
11,1.79193,1.32768,1.64587,12.2893,17.0551
12,1.7941,1.36155,1.63182,13.8734,18.6611
13,1.79194,1.33962,1.65594,9.84934,14.6371
14,1.79601,1.33563,1.66778,14.5315,19.3311
15,1.79592,1.33564,1.63185,13.4684,18.2321
16,1.81235,1.33142,1.63194,1.24846,6.02445
17,1.79257,1.33916,1.64388,12.2049,16.9808
18,1.79355,1.36204,1.63207,14.1009,18.8887
19,1.79268,1.33905,1.65584,9.65205,14.4399
20,1.79268,1.33904,1.65595,14.6439,19.4319
21,1.79584,1.33612,1.63172,15.309,20.073
22,1.79296,1.3268,1.64375,1.28126,6.04505
23,1.79229,1.33938,1.6678,12.2917,17.0915
24,1.80754,1.33629,1.63186,14.6797,19.4557
25,1.82852,1.33907,1.63204,10.1258,14.9257
26,1.82236,1.33321,1.64388,14.6418,19.4415
27,1.79252,1.35123,1.63179,16.8608,21.6367
28,1.81683,1.33889,1.63184,1.2731,6.06092
29,1.79223,1.32756,1.64392,12.3514,17.1154
30,1.79722,1.35838,1.6319,17.0136,21.8014
31,1.81959,1.33603,1.63195,9.70381,14.4917
32,1.8193,1.33616,1.6439,14.7448,19.5444
33,1.8246,1.33109,1.63173,15.4614,20.2491
34,1.8057,1.33806,1.63166,1.25615,6.03183
35,1.79513,1.33838,1.64214,12.1194,16.8953
36,1.79212,1.3516,1.63177,17.2115,21.9873
37,1.81941,1.33615,1.63186,10.0529,14.8406
38,1.7925,1.3292,1.64198,14.7087,19.4726
39,1.79548,1.33611,1.63385,16.964,21.7297
40,1.7957,1.33592,1.63183,1.26005,6.02378
41,1.82606,1.32946,1.6438,12.2746,17.0742
42,1.79629,1.3353,1.63168,16.9757,21.7393
43,1.7935,1.32619,1.6318,6.73082,11.4826
44,1.82205,1.33363,1.64373,14.6275,19.4272
45,1.82233,1.33338,1.63181,13.3926,18.1804
46,1.79352,1.33821,1.65584,1.2587,6.04656
47,1.80579,1.33793,1.64391,12.3101,17.098
48,1.79294,1.33871,1.63198,16.8472,21.6111
49,1.79315,1.34104,1.62944,9.74847,14.5123
50,1.79309,1.36269,1.65582,14.3763,19.1882
51,1.79317,1.33864,1.65569,14.5066,19.2943
52,1.79836,1.3333,1.65582,1.25765,6.0453
53,1.80475,1.33911,1.64391,11.821,16.6089
54,1.79383,1.33802,1.63194,17.066,21.83
55,1.79606,1.32379,1.63184,6.56216,11.3141
56,1.81366,1.33012,1.64379,14.457,19.2448
57,1.79289,1.35096,1.64386,13.307,18.095
58,1.79592,1.33574,1.63186,1.27021,6.03401
59,1.79221,1.33943,1.6678,12.2246,17.0243
60,1.81936,1.33633,1.63199,17.0076,21.7955
61,1.78158,1.33807,1.63186,10.1539,14.9057
62,1.79341,1.3382,1.64372,14.6079,19.3835
63,1.79276,1.33914,1.63179,16.945,21.7089
64,1.79293,1.3628,1.6318,3.73621,8.52402
65,1.79239,1.33924,1.66792,12.1757,16.9755
66,1.81342,1.33019,1.63191,16.9958,21.7716
67,1.79476,1.33588,1.63205,10.172,14.9349
68,1.79368,1.33809,1.64379,14.484,19.2598
69,1.81782,1.33808,1.63178,17.055,21.843
70,1.78412,1.32372,1.63178,3.78431,8.5242
71,1.79263,1.33924,1.66773,12.1639,16.9637
72,1.81775,1.33617,1.6318,17.0789,21.8649
73,1.79478,1.33676,1.63189,9.55626,14.32
74,1.7958,1.33594,1.64386,14.5081,19.2839
75,1.79288,1.33879,1.63305,13.862,18.627
76,1.83289,1.33469,1.63186,3.69231,8.49201
77,1.79257,1.36318,1.6438,12.1679,16.9677
78,1.7938,1.33609,1.63187,16.9099,21.6719
79,1.7958,1.33583,1.63195,9.78001,14.5439
80,1.79358,1.36213,1.64376,14.5691,19.3688
81,1.79578,1.35987,1.63184,13.4812,18.2689
82,1.79293,1.3388,1.63197,1.26401,6.02801
83,1.79733,1.32239,1.66778,12.0937,16.8815
84,1.8212,1.33441,1.63203,17.1165,21.9044
85,1.78058,1.33916,1.63178,12.5179,17.2697
86,1.81962,1.33614,1.64384,14.4639,19.2638
87,1.79377,1.362,1.63191,13.759,18.5469
