1 mm Clearance,,,,,
Iteration,Approach,Pickup,Transport,Insert,Total
1,1.74165,1.32557,1.64386,6.43837,11.1497
2,1.79568,1.29981,1.64375,10.0992,14.8387
3,1.80859,1.29892,1.64384,1.57999,6.33163
4,1.75393,1.29357,1.65578,7.91544,12.619
5,1.76958,1.31394,1.63175,6.28312,10.9987
6,1.79433,1.28919,1.64377,7.5238,12.2514
7,1.75697,1.30247,1.64396,9.67837,14.3821
8,1.76891,1.30267,1.6438,18.1863,22.902
9,1.80825,1.28728,1.64365,7.54389,12.2834
10,1.75802,1.28942,1.64375,7.08763,11.7791
11,1.76872,1.33869,1.64422,7.89579,12.6477
12,1.78152,1.30202,1.64581,1.5999,6.32954
13,1.7421,1.29351,1.66795,5.65933,10.3632
14,1.76772,1.32599,1.64385,1.57894,6.31679
15,1.7871,1.28476,1.64365,1.57933,6.29514
16,1.7453,1.30214,1.64462,5.68311,10.3755
17,1.77192,1.28772,1.6317,5.45831,10.1499
18,1.76856,1.29087,1.64376,4.66316,9.36664
19,1.75795,1.28926,1.64387,7.03967,11.731
20,1.75475,1.31676,1.6317,9.07942,13.7829
21,1.75459,1.30485,1.66775,8.44315,13.1706
22,1.75779,1.30214,1.64384,5.43377,10.1378
23,1.77005,1.30157,1.64371,1.84556,6.56115
24,1.75565,1.30399,1.64391,9.05393,13.7578
25,1.74526,1.30218,1.66784,6.72873,11.4443
26,1.77842,1.29238,1.64502,11.6943,16.4104
27,1.78196,1.28959,1.64382,8.81535,13.531
28,1.75477,1.29266,1.64392,7.90521,12.5969
29,1.76948,1.29008,1.64392,5.19283,9.89659
30,1.78404,1.28739,1.64388,8.32361,13.0392
31,1.76781,1.2917,1.65574,5.95833,10.6739
32,1.79549,1.28801,1.63167,6.0302,10.7456
33,1.7672,1.30437,1.63197,15.7385,20.4423
34,1.75745,1.30205,1.64379,8.02186,12.7254
35,1.75413,1.29337,1.65591,1.59148,6.29518
36,1.78258,1.30115,1.64363,6.2481,10.9758
37,1.79421,1.30173,1.64348,5.51662,10.2563
38,1.79301,1.30265,1.63191,12.1752,16.9031
39,1.75382,1.30574,1.64379,7.78331,12.4869
40,1.77993,1.30015,1.6437,5.16992,9.89399
41,1.79432,1.30145,1.64558,7.99775,12.7394
42,1.78201,1.30174,1.64378,12.1134,16.8412
43,1.75473,1.32726,1.64312,10.7464,15.4718
44,1.8077,1.28757,1.64399,15.5934,20.3329
45,1.8079,1.29941,1.64395,5.68349,10.435
46,1.78368,1.29981,1.64647,7.04847,11.7787
47,1.75869,1.29921,1.63196,8.76763,13.4578
48,1.79526,1.30033,1.64372,10.9407,15.6803
49,1.75828,1.30281,1.64251,2.6955,7.39938
50,1.76935,1.30192,1.63198,8.77891,13.4824
51,1.79641,1.30005,1.64292,8.81594,13.5556
52,1.74214,1.29339,1.66776,6.18568,10.8893
53,1.79596,1.28757,1.63178,1.81845,6.53404
54,1.76887,1.30242,1.64361,1.61775,6.33292
55,1.76988,1.28973,1.65587,6.47517,11.1909
56,1.78097,1.29015,1.63188,5.99371,10.697
57,1.80598,1.2896,1.64377,7.87932,12.6189
58,1.7567,1.30276,1.64378,13.0972,17.8008
59,1.79567,1.29968,1.63173,3.45038,8.17774
60,1.75437,1.30509,1.66789,5.74776,10.4754
,,,,,
0.3 mm Clearance,,,,,
Iteration,Approach,Pickup,Transport,Insert,Total
1,1.76075,1.32779,1.64391,1.58113,6.31387
2,1.80808,1.28735,1.64385,22.7826,27.5222
3,1.78167,1.30176,1.64385,1.84615,6.57372
4,1.75818,1.29101,1.65409,15.2577,19.9613
5,1.76634,1.30518,1.63179,10.7379,15.4415
6,1.75415,1.29339,1.64382,8.94562,13.6372
7,1.78367,1.29939,1.63475,14.3557,19.0738
8,1.76619,1.30531,1.64378,19.9017,24.6173
9,1.79363,1.30185,1.64391,18.114,22.8537
10,1.74579,1.30164,1.64502,11.7282,16.4209
11,1.76785,1.30363,1.65597,21.3202,26.048
12,1.80543,1.28994,1.64386,1.79388,6.5334
13,1.74174,1.30568,1.64382,6.90737,11.5989
14,1.76957,1.30197,1.6677,1.7951,6.53462
15,1.79899,1.31896,1.63335,7.36353,12.1151
16,1.74157,1.2938,1.64401,13.1252,17.8048
17,1.79582,1.29968,1.63191,1.78218,6.50987
18,1.75429,1.30535,1.64366,6.73778,11.4413
19,1.74176,1.30555,1.6562,14.5011,19.2048
20,1.78399,1.2995,1.6559,18.7854,23.525
21,1.76953,1.29019,1.64392,21.4848,26.1886
22,1.75773,1.30184,1.66755,10.0495,14.7768
23,1.76962,1.28987,1.66764,9.17529,13.9027
24,1.75422,1.30489,1.64388,28.5771,33.2803
25,1.76867,1.29115,1.64381,23.013,27.7168
26,1.78296,1.30033,1.63207,31.5884,36.3041
27,1.77196,1.28745,1.64387,7.02651,11.7301
28,1.74175,1.31772,1.64575,15.0633,19.7689
29,1.75388,1.3295,1.64391,15.3213,20.0489
30,1.76596,1.31928,1.64185,15.4748,20.2021
31,1.77078,1.28814,1.65593,13.2908,18.0059
32,1.75444,1.3051,1.6439,13.2088,17.9126
33,1.76937,1.29009,1.63184,38.7419,43.4334
34,1.73589,1.30169,1.64193,15.0293,19.7091
35,1.80696,1.30036,1.6439,6.77656,11.5281
36,1.76861,1.30182,1.64385,16.3872,21.1018
37,1.75706,1.30248,1.66838,4.43396,9.16217
38,1.77177,1.29998,1.64384,35.7069,40.4228
39,1.76894,1.29055,1.65578,20.0595,24.7751
40,1.74641,1.2893,1.64363,9.65486,14.3345
41,1.75428,1.34128,1.64392,28.0015,32.7413
42,1.76566,1.29345,1.64381,38.6815,43.3847
43,1.74942,1.31019,1.64454,27.1612,31.8656
44,1.77835,1.30517,1.64395,42.9057,47.6335
45,1.79004,1.31735,1.64396,1.78249,6.53414
46,1.78457,1.29909,1.64381,17.311,22.0387
47,1.78179,1.33785,1.63181,15.7371,20.4889
48,1.79702,1.29856,1.64381,27.3795,32.1192
49,1.72984,1.30559,1.64401,4.6382,9.31792
50,1.75449,1.29298,1.63199,31.6278,36.3075
51,1.7666,1.29312,1.64367,9.51195,14.2156
52,1.75836,1.30115,1.65206,16.5215,21.2334
53,1.77064,1.30105,1.64377,11.1079,15.8236
54,1.77043,1.29092,1.64197,1.7591,6.46259
55,1.76876,1.29047,1.64394,19.4094,24.1128
56,1.79427,1.28917,1.63189,13.2057,17.9213
57,1.76946,1.30218,1.64647,21.0631,25.7815
58,1.74576,1.28968,1.64382,32.1413,36.8209
59,1.79394,1.28954,1.63187,1.79638,6.51202
60,1.78285,1.30011,1.64388,28.3139,33.041
,,,,,20.706537
