-90,-1.76135589,-90,-2.56239679
-80,-1.61469114,-80,-2.11154353
-70,-1.45339989,-70,-1.82417842
-60,-1.12954459,-60,-1.51410024
-50,-0.9857058,-50,-1.25179608
-40,-0.77283807,-40,-0.94959316
-30,-0.55711684,-30,-0.63072641
-20,-0.44734233,-20,-0.37452456
-10,-0.25281774,-10,-0.16999487
0,-0.08834374,0,-0.02223544
0,-0.05837997,0,0.05837997
10,0.20808106,10,10.20808106
20,0.32140343,20,20.32140343
30,0.48397973,30,30.48397973
40,0.58260249,40,40.58260249
50,0.698711442,50,50.69871144
60,0.82727502,60,60.82727502
70,0.91595824,70,70.91595824
80,1.08151369,80,81.08151369
90,1.00683127,90,91.00683127
