J1, J2, J3, J4, J5, J6, J7, tag_X, tag_Y, tag_Z, tag_Xrot, tag_Yrot, tag_Zrot
-95.615, 85.879, 0, 118.365, -10.373, 32.915, -111.264, -0.0103665, -0.0249555, 0.474623, -1.62645, 0.0164978, -3.05719
-111.94, 74.781, 0, 105.032, -77.896, 70.223, -62.368, -0.0245432, -0.0528064, 0.471547, -1.59911, 0.0625771, -2.27464
-76.937, 77.5, 0, 108.526, -107.812, -63.044, 5.328, 0.0183044, -0.0129717, 0.474636, -1.61857, -0.0284938, 2.43779
-95.615, 87.921, 0, 116.278, -11.695, 28.862, -109.725, -0.0110351, -0.0266221, 0.49883, -1.62672, 0.0167647, -3.05723
-111.94, 76.538, 0, 103.119, -79.215, 69.495, -58.537, -0.0248724, -0.0546806, 0.496012, -1.60081, 0.0634944, -2.27423
-76.937, 79.329, 0, 106.58, -105.93, -61.948, 1.256, 0.0178419, -0.0143942, 0.499092, -1.62082, -0.0259484, 2.4382
-95.615, 89.675, 0, 113.975, -13.436, 24.902, -107.773, -0.0110907, -0.0281748, 0.523564, -1.62726, 0.0154523, -3.0567
-111.94, 78.071, 0, 100.988, -80.588, 68.852, -54.677, -0.0251628, -0.0561579, 0.520517, -1.60097, 0.0637269, -2.27446
-76.937, 80.921, 0, 104.417, -103.956, -60.98, -2.875, 0.0177739, -0.0158919, 0.523851, -1.62021, -0.0253655, 2.43828
-95.615, 91.149, 0, 111.467, -15.809, 21.048, -105.198, -0.0114256, -0.0296993, 0.548094, -1.62363, 0.0181393, -3.05695
-111.94, 79.379, 0, 98.64, -82.006, 68.298, -50.795, -0.0254816, -0.0576031, 0.545171, -1.60162, 0.0637035, -2.27485
-76.937, 82.277, 0, 102.04, -101.902, -60.144, -7.053, 0.0176086, -0.0173115, 0.548437, -1.6206, -0.0232104, 2.4382
-95.615, 92.35, 0, 108.758, -19.191, 17.317, -101.62, -0.0116176, -0.031031, 0.572762, -1.62711, 0.0160781, -3.05687
-111.94, 80.461, 0, 96.075, -83.464, 67.837, -46.895, -0.0256841, -0.0591981, 0.569787, -1.60136, 0.0604899, -2.27483
-76.937, 83.398, 0, 99.451, -99.78, -59.446, -11.269, 0.0173194, -0.018878, 0.573073, -1.6222, -0.0226596, 2.43857
-95.615, 93.288, 0, 105.853, -24.32, 13.744, -96.299, -0.0119578, -0.0325861, 0.597418, -1.62449, 0.0183688, -3.05712
-111.94, 81.318, 0, 93.292, -84.952, 67.47, -42.981, -0.0258601, -0.0607844, 0.594567, -1.59931, 0.0607588, -2.27461
-76.937, 84.286, 0, 96.65, -97.603, -58.888, -15.516, 0.0171517, -0.0203849, 0.597724, -1.62324, -0.0214751, 2.43843
-95.615, 93.973, 0, 102.754, -32.781, 10.411, -87.65, -0.012563, -0.0337888, 0.622049, -1.62854, 0.0156246, -3.05753
-111.94, 81.949, 0, 90.288, -86.467, 67.197, -39.051, -0.0260904, -0.0620231, 0.619413, -1.59883, 0.0616856, -2.27525
-76.937, 84.943, 0, 93.635, -95.382, -58.473, -19.787, 0.0170599, -0.0218947, 0.622504, -1.62207, -0.0226217, 2.43866
-95.615, 94.412, 0, 99.46, -48.173, 7.545, -72.075, -0.0132151, -0.0352015, 0.646631, -1.62388, 0.0184537, -3.05865
-111.94, 82.356, 0, 87.054, -88.003, 67.022, -35.104, -0.0264341, -0.0636968, 0.644038, -1.60353, 0.0631709, -2.27516
-76.937, 85.371, 0, 90.401, -93.128, -58.201, -24.079, 0.016802, -0.0234015, 0.647306, -1.62009, -0.0213222, 2.43932
-95.615, 94.614, 0, 95.966, -76.502, 5.775, -43.564, -0.0137406, -0.0363592, 0.671373, -1.6271, 0.0220959, -3.05987
-111.94, 82.536, 0, 83.581, -89.555, 66.944, -31.135, -0.0268265, -0.0653239, 0.668747, -1.60177, 0.0595196, -2.27527
-76.937, 85.571, 0, 86.938, -90.852, -58.073, -28.389, 0.0167362, -0.0250164, 0.671957, -1.62364, -0.0175846, 2.439
